"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.22309695879492,0.774,0.377,0,"0","Arhgap5"
0,2.74583444635377,0.472,0.075,0,"0","Brinp2"
0,1.49592603764,0.598,0.201,0,"0","Trim35"
0,1.71962213830581,0.575,0.179,0,"0","Actr1b"
0,2.66737696797629,0.47,0.074,0,"0","Saxo2"
0,2.67063853394002,0.474,0.078,0,"0","Sult4a1"
0,1.79349958498954,0.57,0.174,0,"0","Arl13b"
0,1.25959677150383,0.918,0.523,0,"0","Calm3"
0,1.64388755756194,0.61,0.215,0,"0","Rhoq"
0,2.69053736756018,0.467,0.073,0,"0","Map3k19"
0,1.32580850521152,0.762,0.368,0,"0","Emc7"
0,3.03056962179081,0.459,0.065,0,"0","Trim45"
0,1.9131830022824,0.56,0.166,0,"0","Mgat4b"
0,2.0599361780821,0.544,0.15,0,"0","Abcc1"
0,1.42322182559367,0.637,0.244,0,"0","Dctn1"
0,2.79870141197824,0.467,0.074,0,"0","Galnt14"
0,1.4569303850033,0.606,0.215,0,"0","2810013P06Rik"
0,2.51536130463389,0.473,0.082,0,"0","Nsg2"
0,1.13811944277354,0.773,0.383,0,"0","Rexo2"
0,2.32102456919271,0.496,0.106,0,"0","Ccpg1os"
0,1.41442972285603,0.642,0.252,0,"0","Nin"
0,2.41451930123145,0.49,0.101,0,"0","Epb41l1"
0,1.19403437506228,0.785,0.396,0,"0","Dctn3"
0,0.959743871780117,0.693,0.305,0,"0","Eno1"
0,1.10243236826071,0.777,0.39,0,"0","Zranb2"
0,1.68320719789566,0.58,0.193,0,"0","Gm17018"
0,2.28105122533467,0.491,0.105,0,"0","Tenm2"
