"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Oasl1",7.20508586430059e-08,2.44989571003532,1,1,0.00181056602684009
"Id3",7.26249645489258e-08,-0.775539249674307,1,1,0.00182499273414996
"BE692007",7.46817915323398e-08,0.658141861438201,1,0.889,0.00187667873941617
"Coro1b",7.95037328807812e-08,0.526473555304169,1,1,0.00199784930356115
"Trim30b",8.1125748825692e-08,1.22860236445327,1,1,0.00203860894224081
"Parp14",8.41343203075429e-08,1.31708523861508,1,1,0.00211421133500824
"Kank3",8.65770091720905e-08,-0.589195080004982,1,1,0.00217559366348546
"Mid1",8.98442953998482e-08,0.569690078146634,1,1,0.00225769729910279
"Ascc3",9.54512935711273e-08,0.634307761513888,1,1,0.00239859555614886
"Isg20",1.05021312542982e-07,2.52836966774539,1,1,0.0026390805628926
"Stat2",1.16902857229182e-07,1.31324954790256,1,1,0.00293765189931212
"Hist1h2ap",1.33621180410433e-07,0.898286492997415,1,1,0.00335776664253377
"Ifngr1",1.38307179102716e-07,-0.350416789388362,1,1,0.00347552110367216
"Xaf1",1.5427620430851e-07,1.4453935946471,1,1,0.00387680673806855
"Igfbp4",1.65579731956652e-07,-0.783204875407047,1,1,0.00416085308433871
"Fnta",1.76332376361609e-07,-0.320642874511168,1,1,0.00443105628559087
"Rnf130",1.7781081595866e-07,-0.276038800856822,1,1,0.00446820799422517
"Col1a2",1.83318134905904e-07,1.07489470463126,1,0.889,0.00460660141205047
"Ifit3b",1.85100826999936e-07,2.23382603997079,1,1,0.0046513986816814
"Ppp1cc",1.92768489239515e-07,-0.20100291411866,1,1,0.00484407936609977
"Klf2",1.97556744501527e-07,-0.857343326223932,1,1,0.00496440343257888
"Smagp",1.99909828058244e-07,-0.599321168030177,1,1,0.00502353406927562
"Ifit1bl1",2.00749983381345e-07,2.69172472259059,1,0.778,0.00504464633238982
"Tgtp1",2.10559356878195e-07,0.69815942728792,1,1,0.00529114607899217
"Hs3st1",2.57244961476728e-07,-0.544466938522199,1,1,0.00646430863694869
"Zbp1",2.69159931041412e-07,2.25030087656451,1,1,0.00676371990713963
"9930111J21Rik1",2.99092901237439e-07,0.557244131723007,1,1,0.00751590551519559
"C5ar1",3.17618498597036e-07,-0.544913218507175,1,1,0.00798143525124492
"Tgtp2",3.18548521189078e-07,0.841897666222478,1,1,0.00800480578896033
"Rasgrp1",3.20529074876277e-07,0.791063660180973,1,1,0.00805457512256596
"Rpl23",3.22028024621323e-07,-0.350647733950074,1,1,0.00809224223070923
"Pou5f1",3.23456641519172e-07,0.257310002151296,0.889,0,0.00812814194473528
"AW011738",3.26657183898077e-07,1.66016192441553,1,1,0.00820856837417478
"Kif9",3.27157603549958e-07,0.458604414447101,1,0.667,0.00822114341960689
"Ifi27l2a",3.5113397366041e-07,1.5661719558479,1,1,0.00882364562411244
"Dbp",3.56381486547884e-07,-0.528776050652086,1,1,0.00895551037546177
"Phf11a",3.66949332492956e-07,1.81558095730304,1,1,0.00922106977621549
"Cmpk2",3.75137668626123e-07,1.8784180337748,1,1,0.00942683447490585
"Gtf2a2",3.77653827308812e-07,-0.337181791978431,1,1,0.00949006302644314
"Phf11d",3.7895019773781e-07,1.70905412158858,1,1,0.00952263951895342
"Itm2c",3.85908919836029e-07,-0.328218542330507,1,1,0.00969750524655957
"Mmrn2",3.86310552193818e-07,-0.42231032620314,1,1,0.00970759786607844
"Aldh2",3.89056034317888e-07,-0.41191961200456,1,1,0.00977658908637421
"Lsm5",4.06068601626971e-07,-0.299710873884778,1,1,0.0102040978902841
"Parp12",4.23357061455455e-07,1.17006300025817,1,1,0.0106385395973141
"Sharpin",4.31434318863378e-07,0.480911519062614,1,1,0.0108415129987178
"Pml",4.45604207118847e-07,0.88869961300825,1,1,0.0111975881206895
"Dhx58",4.48766213186905e-07,1.2785309123337,1,1,0.0112770461711737
"Rpl35a",4.5101456486167e-07,-0.469269148340592,1,1,0.0113335450004089
"Ier3",4.54078986740557e-07,-0.704314760352458,1,1,0.0114105508578035
"Ilf2",4.66697152195515e-07,-0.32763636275085,1,1,0.0117276327375211
"P4hb",4.67845333251152e-07,-0.25458900476142,1,1,0.0117564853792682
"Stat1",4.67877571342666e-07,1.28748937696075,1,1,0.0117572954902699
"Naip2",5.26932753509907e-07,0.730165783122335,1,1,0.0132412931629504
"Cfb",5.30467441856616e-07,2.57393897388811,1,1,0.0133301163464149
"Trim30a",5.72989243093782e-07,1.1245966544874,1,1,0.0143986466897036
"Sumf1",5.76390220319514e-07,0.511616708178827,1,1,0.0144841098464091
"Isg15",5.87786694319658e-07,2.70251579896766,1,1,0.0147704918415587
"Ccr5",6.1536329047986e-07,0.679684894517659,1,1,0.0154634641264684
"Gpr162",6.2610190854476e-07,0.542921302976131,1,0.667,0.0157333148598213
"Rplp1",6.329321710503e-07,-0.352111575813854,1,1,0.015904952526323
"Rpl21",6.3954853292357e-07,-0.391659242881442,1,1,0.0160712150838364
"Nt5c3",6.55692388208351e-07,1.27141801913918,1,1,0.0164768940232877
"Pim3",6.55901608654245e-07,-0.509380655236363,1,1,0.0164821515238725
"Oas1a",7.01520051308844e-07,1.3097985580873,1,1,0.01762849736934
"Helz2",7.27464909304326e-07,0.866748154558093,1,1,0.0182804657059084
"Rab11fip4",7.30910249430876e-07,0.585214633226776,1,0.778,0.0183670436579485
"Pmp22",7.32502340277578e-07,-0.620480582423886,1,1,0.0184070513088353
"Mpv17",7.47175386553524e-07,-0.365719823712114,1,1,0.0187757702887035
"Znrf1",7.52461015100137e-07,-0.329054992370645,1,1,0.0189085928484513
"Phf11b",8.34454004750211e-07,1.7696742362455,1,1,0.0209689946853681
"Ifi208",8.38049334774308e-07,1.56472634097223,1,1,0.0210593417335436
"Nfxl1",8.9474150369789e-07,0.456429192331148,1,1,0.0224839592464243
"Rnase4",8.951670583891e-07,-0.538874560822447,1,1,0.0224946530102597
"Sgk1",9.48284813330891e-07,-0.501413414469117,1,1,0.023829449074192
"Tspan18",9.88980860987891e-07,-0.538174498782372,1,1,0.0248521000557647
"Copz2",1.02977585859087e-06,-0.503837449233433,1,1,0.0258772375505301
"Ticam1",1.03805342269188e-06,0.411888918890497,1,1,0.0260852444588243
"Sass6",1.04589902267795e-06,0.64192440801694,1,1,0.0262823965408742
"Zcchc2",1.06491405491929e-06,0.620719604168445,1,1,0.0267602252860669
"Taok3",1.07002251663542e-06,0.488028557569444,1,1,0.0268885958205314
"1600014C10Rik",1.10109094786663e-06,1.10686086960423,1,1,0.0276693144289405
"Maged1",1.12019943857419e-06,-0.377000347034089,1,1,0.0281494916919307
"Olfr1124",1.13166500468123e-06,0.256906050951812,1,0.111,0.0284376099026346
